date,day_of_week,route_id,hour,weather,is_holiday,traffic_level,capacity,current_buses,passenger_count
2025-11-10,Monday,2,8,Rainy,0,High,450,9,697
2025-06-15,Sunday,2,17,Cloudy,0,High,450,5,364
2025-04-12,Saturday,1,13,Cloudy,0,Low,500,9,197
2025-07-26,Saturday,2,11,Cloudy,0,Low,450,9,177
2025-02-06,Thursday,5,5,Sunny,0,Low,300,4,180
2025-04-12,Saturday,5,6,Sunny,0,Medium,300,3,242
2025-12-11,Thursday,4,14,Cloudy,0,Low,350,5,189
2025-12-09,Tuesday,1,5,Rainy,0,Low,500,10,310
2025-07-23,Wednesday,4,9,Rainy,0,High,350,6,405
2025-09-07,Sunday,3,20,Cloudy,0,Medium,400,5,128
2025-01-06,Monday,1,8,Sunny,0,High,500,6,480
2025-01-29,Wednesday,2,16,Sunny,0,Medium,450,9,472
2025-07-13,Sunday,1,10,Cloudy,1,Medium,500,9,125
2025-12-06,Saturday,5,9,Sunny,0,High,300,4,236
2025-07-15,Tuesday,4,21,Rainy,0,Low,350,4,208
2025-01-19,Sunday,3,22,Cloudy,0,Low,400,6,170
2025-07-20,Sunday,4,17,Sunny,0,High,350,5,324
2025-11-19,Wednesday,1,5,Rainy,0,Low,500,9,370
2025-01-24,Friday,1,10,Cloudy,0,Medium,500,6,285
2025-02-25,Tuesday,2,11,Cloudy,0,Low,450,6,250
2025-10-04,Saturday,3,8,Sunny,0,High,400,8,489
2025-08-16,Saturday,1,8,Rainy,0,High,500,9,415
2025-12-13,Saturday,1,15,Sunny,0,Low,500,10,231
2025-06-17,Tuesday,2,9,Rainy,0,High,450,9,575
2025-01-30,Thursday,1,22,Cloudy,0,Low,500,6,303
2025-09-16,Tuesday,5,12,Cloudy,0,Low,300,6,145
2025-09-01,Monday,1,9,Cloudy,0,High,500,6,478
2025-05-29,Thursday,1,19,Sunny,0,High,500,8,524
2025-08-15,Friday,2,12,Cloudy,0,Low,450,5,258
2025-07-26,Saturday,2,12,Rainy,0,Low,450,8,202
2025-05-29,Thursday,5,20,Rainy,0,Medium,300,6,185
2025-02-01,Saturday,5,9,Rainy,0,High,300,5,277
2025-07-15,Tuesday,3,20,Cloudy,0,Medium,400,6,198
2025-12-09,Tuesday,4,16,Rainy,0,Medium,350,5,463
2025-06-21,Saturday,5,9,Sunny,0,High,300,3,273
2025-05-31,Saturday,3,12,Sunny,0,Low,400,8,121
2025-05-15,Thursday,3,18,Sunny,0,High,400,5,450
2025-10-25,Saturday,2,18,Sunny,0,High,450,6,411
2025-08-07,Thursday,5,8,Rainy,0,High,300,6,396
2025-07-07,Monday,1,7,Cloudy,0,High,500,8,468
2025-06-22,Sunday,3,9,Cloudy,0,High,400,6,315
2025-01-06,Monday,2,7,Rainy,0,High,450,9,473
2025-11-28,Friday,4,12,Sunny,0,Low,350,6,169
2025-08-06,Wednesday,2,12,Cloudy,0,Low,450,7,246
2025-09-09,Tuesday,4,11,Rainy,0,Low,350,4,197
2025-03-16,Sunday,3,18,Rainy,0,High,400,8,375
2025-09-23,Tuesday,5,6,Rainy,0,Medium,300,5,359
2025-09-05,Friday,2,9,Cloudy,0,High,450,9,400
2025-05-27,Tuesday,2,22,Cloudy,0,Low,450,8,252
2025-10-26,Sunday,3,10,Rainy,1,Medium,400,8,52
2025-09-02,Tuesday,5,18,Sunny,0,High,300,4,353
2025-03-03,Monday,1,8,Sunny,0,High,500,6,506
2025-08-09,Saturday,2,20,Rainy,0,Medium,450,7,217
2025-01-05,Sunday,5,12,Rainy,0,Low,300,5,123
2025-04-24,Thursday,2,5,Cloudy,0,Low,450,7,223
2025-04-27,Sunday,4,9,Sunny,0,High,350,5,280
2025-03-13,Thursday,2,10,Cloudy,0,Medium,450,9,257
