id,route_number,route_name,description,color
1,1,Hlegu Zay – Zawana,(၁) လှည်းကူးဈေးရှေ့ - ဇဝန,405CAA
2,2,Thone-Sae-Hnit Gate – Aung Mingalar A Way Pyay,(၂) ယုဇန(ခိုင်ရွှေဝါလမ်း) - အောင်မင်္ဂလာအဝေးပြေးဝင်း,DF504E
4,4,Thone-Sae-Hnit Gate – Sule Pan Chan,(၄) ယုဇနဥယျာဉ်မြို့တော် - ဆူးလေ,DF504E
5,5,Shit-sae-koe Kwae – Masalar Set/ Gandi,(၅) ရိုးမရိပ်သာ - ဗိုလ်ချုပ်အောင်ဆန်းလမ်း,DF504E
8,8,Thein Kyaung – Lan Thone Sae,(၈) လမ်းမတော် - တောင်ဒဂုံအင်းဝအိမ်ရာ,96509F
9,9,Yadanar Lann – Mingalar Zay,(၉) တိုင်းရင်းသား နည်းပညာတက္ကသိုလ် - ကျောက်တိုင်,96509F
10,10,Lelyar Gate Yinn – Myauk Okkalar Awine,(၁၀) တိုင်းရင်းသားကျေးရွာ - ဒဂုံတက္ကသိုလ်,96509F
11,11,Aung Mingalar A Way Pyay – Maung Khaing,(၁၁) အောင်မင်္ဂလာအဝေးပြေး - ရွှေတိဂုံဘုရား,405CAA
12,12,Ngar-sae Kwae – Sule Myodaw Khan Ma,(၁၂) အရှေ့ဒဂုံ - ဆူးလေ,DF504E
13,13,Nyaung Pin – Botahtaung Paya,(၁၃) ပါရမီ - ဗိုလ်တစ်ထောင်ဘုရား,DF504E
14,14,Nyaung Pin – Thakhin Mya Pan Chan,(၁၄) ပါရမီ (ညောင်ပင်) - သခင်မြပန်းခြံ,DF504E
17,17,Sin Phon Kwae – Dagon Ayar A Way Pyay,(၁၇) ရွှေပေါက်ကံ - အနောက်ပိုင်းနည်းပညာတက္ကသိုလ်,DF504E
18,18,Khayae Pin Lan Khawe – Arthawka,(၁၈) ခရေရိပ်မွန် - ဇဝန,DF504E
19,19,Sin Phon Kwae – Thakhin Mya Pan Chan,(၁၉) ရွှေပေါက်ကံ - သခင်မြပန်းခြံ,DF504E
20,20,Dagon Ayar A Way Pyay – Ye Sa Khan,(၂၀) ဒဂုံဧရာအဝေးပြေး - ကုန်သည်လမ်း - သခင်မြပန်းခြံ,405CAA
21,21,A Nout Paing Takke Tho – Phone Gyi Lan,(၂၁) အနောက်ပိုင်းတက္ကသိုလ်(ထန်းတပင်) - မဟာဗန္ဓုလလမ်း,405CAA
22,22,A Nout Paing Takke Tho – Thakhin Mya Pan Cha,(၂၂) အနောက်ပိုင်းတက္ကသိုလ်(ထန်းတပင်) - သခင်မြပန်းခြံ,405CAA
25,25,Bokalay Zay – Dagon Takke Tho,(၂၅) ဒဂုံတက္ကသိုလ် - မင်္ဂလာဈေး,DF504E
26,26,Dagon Takke Tho – Baho Yone,(၂၆) ဒဂုံတက္ကသိုလ် - ဗိုလ်တထောင်ဘုရားလမ်း,DF504E
27,27,Yuzana Plaza/ Lan Kyal – Sate Kyan Mar Yae Say Yon,(၂၇) စိတ်ကျန်းမာရေးဆေးရုံ - ကျိုက္ကဆံလမ်း,DF504E
28,28,Dagon Takke Tho – Sule Myodaw Khan Ma,(၂၈) ဒဂုံတက္ကသိုလ် - ဆူးလေမြို့တော်ခန်းမ,DF504E
29,29,Dagon Takke Tho – Sule Myodaw Khan Ma,(၂၉) ဒဂုံတက္ကသိုလ် - ဆူးလေ,DF504E
31,31,Botahtaung Paya – A Shae Paing Takke Tho,(၃၁) သန်လျင်(အရှေ့ပိုင်းတက္ကသိုလ်) - ဗိုလ်တထောင်ဈေးလမ်း,96509F
32,32,Myanmar Maritime University – Myo Shouk Lan,(၃၂) ရေကြောင်းတက္ကသိုလ် - ထောက်ကြန့်,96509F
33,33,Kyauk Tan – Thida,(၃၃) ကျောက်တန်း - ယုဇနပလာဇာ ,96509F
34,34,Ban Shae – Kyel Ngar Pwint,(၃၄) ခရမ်း - မဟာဗန္ဓုလလမ်း,96509F
35,35,Htauk Kyant Lan Sone – Maw Tin,(၃၅) ထောက်ကြန့် - မဟာဗန္ဓုလလမ်း,405CAA
38,38,Nyaung Pin – Butar Yon Lan,(၃၈) ပါရမီ (ညောင်ပင်) - သီရိမင်္ဂလာဈေးသစ်,DF504E
39,39,Maw Tin – Auk Gate,(၃၉) ရွှေပြည်သာ(လိန်ကုန်း) - မဟာဗန္ဓုလလမ်း,405CAA
40,40,Auk Gate – Thakhin Mya Pan Chan,(၄၀) ရွှေပြည်သာ(လိန်ကုန်း) - သခင်မြပန်းခြံ,405CAA
41,41,Equator – Thakhin Mya Pan Cha,(၄၁) ထောက်ကြန့် - သခင်မြပန်းခြံ,405CAA
42,42,Auk Gate – Sauk Lote Yae,(၄၂) ရွှေပြည်သာ(လိန်ကုန်း) - ရတနာလမ်း,405CAA
43,43,Yae Kyi I – Botahtaung Paya,(၄၃) ဝါယာလက် - ဗိုလ်တထောင်ဘုရား,405CAA
44,44,Hlegu Tar Sone – Shit Mile,(၄၄) လိန်ကုန်း - လှည်းကူးဈေးရှေ့,2C8A6C
45,45,Hlegu Zay – Min Kone,(၄၅) လှည်းကူးဈေးရှေ့ - မင်းကုန်း,2C8A6C
46,46,Lay Daung Kan (Site Mway Tit) – Zawana,(၄၆) ဒါးပိန် - တောင်မြောက်လမ်းဆုံ,2C8A6C
53,53,Shwe Lin Pan Lan Sone – Mee Khwat Zay,(၅၃) ရွှေလင်ဗန်းလမ်းဆုံ - ရွှေလင်ဗန်းလမ်းဆုံ,2C8A6C
54,54,B.O.C – Paya Lan,(၅၄) ၈၆ဂိတ် - ၈၆ဂိတ်,2C8A6C
55,55,Nyaung Pin – Thakhin Mya Pan Chan,(၅၅) ပါရမီ-စော်ဘွားကြီးကုန်း-သခင်မြပန်းခြံ,DF504E
56,56,Bogyoke Kwae – Thida Seik,(၅၆)  - မြို့တွင်း,86603E
57,57,Ye Sa Khan – Thakhin Mya Pan Cha,(၅၇)  - မြို့တွင်း,86603E
58,58,Thakhin Mya Pan Chan – Lin Sadaung,(၅၈)  - မြို့တွင်း,86603E
59,59,Thein Kyaung – White Taw,(၅၉) တောင်ဒဂုံသိမ်ကျောင်းလမ်းဆုံ - ဗဟိုအမျိုးသမီးဆေးရုံ,DF504E
