id,name,latitude,longitude,name_mm,road,township
1,Nat Sin,16.868886,96.222571,နတ်စင်,No. 2 Main Road,South Dagon
2,Nat Sin,16.869143,96.22241,နတ်စင်,No. 2 Main Road,South Dagon
3,Gate Haung,16.902381,96.200097,ဂိတ်ဟောင်း,Bo Hmu Ba Htoo Road,North Dagon
4,Gate Haung,16.902476,96.200042,ဂိတ်ဟောင်း,Bo Hmu Ba Htoo Road,North Dagon
5,Sal Mile,16.91305,96.211413,(၁၀) မိုင်,Dagon University,North Dagon
6,Sae-hnat-lone-Tan,16.830907,96.1634,(၁၂) လုံးတန်း,Yankin Road,Yankin
7,Sae-hnat-lone-Tan,16.830835,96.163503,(၁၂) လုံးတန်း,Yankin Road,Yankin
10,(Sae-Lay/ Sae-Ngar) Lan Sone,16.837107,96.186161,(၁၄/၁၅) လမ်းဆုံ,Yadanar Road,Thingangyun
11,(Sae-Lay/ Sae-Ngar) Lan Sone,16.836842,96.185876,(၁၄/၁၅) လမ်းဆုံ,Yadanar Road,Thingangyun
12,(Sae-Lay/ Sae-Ngar) Lan Sone,16.836957,96.185657,(၁၄/၁၅) လမ်းဆုံ,Thu Mingalar Road,South Okkalapa
13,(Sae-Lay/ Sae-Ngar) Lan Sone,16.836996,96.185808,(၁၄/၁၅) လမ်းဆုံ,Thu Mingalar Road,South Okkalapa
14,Padaythar,16.841681,96.183249,ပဒေသာ,Thu Mingalar Road,South Okkalapa
15,Padaythar,16.842273,96.182639,ပဒေသာ,Thu Mingalar Road,South Okkalapa
16,Nandawun Zay,16.85178,96.175829,နန္ဒဝန်ဈေး,Thu Mingalar Road,South Okkalapa
17,Nandawun Zay,16.852036,96.175872,နန္ဒဝန်ဈေး,Thu Mingalar Road,South Okkalapa
18,Sae-Hnit Thama,16.882275,96.03623,(၁၂) သမ,Shwe Pyi Thar Bridge Road,Hlaing Tharyar
19,Sae-Hnit Thama,16.882419,96.036169,(၁၂) သမ,Shwe Pyi Thar Bridge Road,Hlaing Tharyar
20,Kyaung Shae,16.899658,96.045927,ကျောင်းရှေ့,Shwe Pyi Thar Bridge Road,Hlaing Tharyar
21,Kyaung Shae,16.899854,96.045886,ကျောင်းရှေ့,Shwe Pyi Thar Bridge Road,Hlaing Tharyar
23,Sae-Ngar Zay Lay,16.890118,96.062261,(၁၅) ဈေးလေး,Kyansitthar Road,Hlaing Tharyar
24,Nee Pyinyar Takke Tho,16.867924,96.011427,နည်းပညာတက္ကသိုလ်,University of Technology,Hlaing Tharyar
25,Dagon Ayar A Way Pyay,16.878048,96.024103,ဒဂုံဧရာအဝေးပြေး,No. 5 Main Road,Hlaing Tharyar
30,Tit Htate,16.878087,96.078418,(၁) ထိပ်,Nyaung Done Road,Hlaing Tharyar
31,Tit Htate,16.87818,96.078396,(၁) ထိပ်,Nyaung Done Road,Hlaing Tharyar
32,Nawaday,16.861391,96.068355,နဝဒေး,No. 5 Main Road,Hlaing Tharyar
33,Nawaday,16.861356,96.068966,နဝဒေး,No. 5 Main Road,Hlaing Tharyar
35,Dhamar Yon,16.861069,96.108151,ဓမ္မာရုံ,Bayint Naung Road,Mayangone
36,Tayar-Chauk,16.843116,96.156519,(၁၀၆),Kabar Aye Pagoda Road,Mayangone
37,Tayar-Chauk,16.843124,96.156666,(၁၀၆),Kabar Aye Pagoda Road,Mayangone
38,Lan Wa/ Nawaday,16.867228,96.154818,လမ်းဝ/နဝဒေး,Thudhamar Road,North Okkalapa
39,Sae-Mile Kone,16.888833,96.129917,(၁၀) မိုင်ကုန်း,Pyay Road,Insein
40,Sae-Mile Kone,16.888977,96.129869,(၁၀) မိုင်ကုန်း,Pyay Road,Insein
41,Tit Gate,16.915501,96.097224,(၁) ဂိတ်,Lower Mingalardon Road,Insein
42,Tit Gate,16.915289,96.097312,(၁) ဂိတ်,Lower Mingalardon Road,Insein
43,Japan Lan,16.905062,96.097686,ဂျပန်လမ်း,Lower Mingalardon Road,Insein
44,Japan Lan,16.905025,96.09781,ဂျပန်လမ်း,Lower Mingalardon Road,Insein
45,Htan Pin Kone,16.900292,96.124383,ထန်းပင်ကုန်း,No. 1 Main Road,Mingalardon
46,Htan Pin Kone,16.900289,96.12411,ထန်းပင်ကုန်း,No. 1 Main Road,Mingalardon
47,Tayar-Chauk,16.928333,96.120753,၁၀၆,Khayae Pin Road,Mingalardon
48,Tayar-Chauk,16.928214,96.120621,၁၀၆,Khayae Pin Road,Mingalardon
49,Naing Ngan Yae,16.938202,96.129981,နိုင်ငံရေး,No. 1 Main Road,Mingalardon
50,Naing Ngan Yae,16.938629,96.129552,နိုင်ငံရေး,No. 1 Main Road,Mingalardon
51,Sae-Hnit Lan,16.964759,96.148111,(၁၂) လမ်း,No. 3 Main Road,Mingalardon
52,Sae-Hnit Lan,16.964962,96.147962,(၁၂) လမ်း,No. 3 Main Road,Mingalardon
55,Nilar,16.992381,96.144242,နီလာ,No. 3 Main Road,Mingalardon
56,Nilar,16.99277,96.143972,နီလာ,No. 3 Main Road,Mingalardon
57,Tit Numpad,16.974734,96.124237,(၁) နံပါတ်,No. 1 Main Road,Mingalardon
58,Tit Numpad,16.974884,96.124058,(၁) နံပါတ်,No. 1 Main Road,Mingalardon
59,Daewoo,17.018606,96.131843,ဒေဝူး,No. 1 Main Road,Mingalardon
60,Daewoo,17.018411,96.131438,ဒေဝူး,No. 1 Main Road,Mingalardon
61,Nwe Khwe,17.022482,96.140549,နွယ်ခွေ,No. 3 Set Thwe Road,Mingalardon
62,Nwe Khwe,17.022687,96.140088,နွယ်ခွေ,No. 3 Set Thwe Road,Mingalardon
63,Nwe Khwe,17.022154,96.134316,နွယ်ခွေ,No. 1 Main Road,Mingalardon
